Hygienerating;Geschmacksrating;Inspektor;PLZ
 76; 56;3;12359
 91;116;2;12277
 45; 66;2;13467
155; 66;4;14052
108; 41;3;13405
117;127;3;12157
122; 53;2;13059
 67;134;2;13509
154; 44;2;10557
 84; 49;3;12557
 80; 94;4;12309
 32;122;2;12059
 96; 98;4;12247
165;116;4;10407
180; 88;2;10249
 28; 85;4;10243
152; 36;2;12309
147; 38;3;10829
 65; 58;4;12047
 87; 61;4;13351
148; 73;4;13051
114; 57;3;15569
142;101;4;13505
127; 50;3;12051
105; 28;2;13409
 53; 72;3;12103
 42;135;2;13088
 92; 40;3;10249
171; 41;4;14109
 73;115;3;10587
 64; 40;4;10625
 46;118;4;10435
 94; 52;3;12555
 30;101;4;10829
167; 56;2;14165
 81; 50;3;13053
110; 23;4;13159
 90; 32;3;14129
 73; 69;4;10709
126;113;2;13403
135; 63;3;12207
120; 59;3;12103
 61;135;2;12057
131; 27;3;13159
 50;130;1;12621
 43; 78;4;13503
 95; 67;4;10713
 70;117;4;12043
170; 76;4;13585
 41;115;4;13051
 34;112;4;12203
 17; 93;4;13156
138; 28;1;14163
 60;149;2;10717
 63; 57;3;12169
 53; 54;3;12045
151; 78;4;10823
143;102;2;10707
 69; 51;3;10315
164; 27;3;13439
 78; 69;4;10178
 78;126;4;10719
 67; 59;2;13088
122;111;4;13407
 99; 38;4;10587
 67;136;2;10243
143; 36;4;13599
153; 46;2;13627
 47; 72;3;10623
159; 29;3;13053
160; 40;4;13467
146; 32;3;12621
120; 30;4;13593
 74; 67;4;15566
151; 56;3;12105
 54;107;2;12161
182; 97;3;12681
 79; 38;3;13349
156; 97;4;13435
 86;110;4;13505
118; 57;4;10967
157; 55;4;10779
 66; 41;3;13627
129; 51;4;14167
 59; 88;4;12049
 75;125;4;13465
 78;110;4;10117
 57; 76;4;13403
149; 75;4;15537
 18; 95;3;13585
109; 32;3;13053
181; 82;1;10435
140; 56;4;13465
113; 56;3;10409
 88; 63;4;13357
110;112;3;10119
 56;152;3;12353
112; 27;3;13591
 83;121;4;12527
 75; 65;3;12055
129; 54;4;13086
163; 94;4;12207
 60;133;1;12055
 57;146;3;12051
152; 74;4;10967
 19; 97;3;12687
151; 40;2;10779
147; 64;3;13509
151; 54;3;13057
118; 64;4;13159
 38;103;4;10829
 77;105;3;13359
113; 90;2;12357
 37; 75;3;13057
113; 29;3;12279
 56; 53;3;10719
119; 55;3;13189
126; 28;3;10967
170; 75;4;14053
103; 32;4;13507
130; 45;4;13465
 34; 75;4;13349
101; 44;3;13597
104; 45;3;13347
 70;114;4;14050
115; 28;3;12049
 69; 65;3;13587
 13; 89;4;10777
 56;121;4;13581
186;104;2;10437
144; 72;4;10407
 41;105;4;12526
105; 53;3;14053
115; 41;3;12347
 79;134;2;12621
121; 35;3;13129
147; 74;4;12161
 32; 82;4;12524
 94; 48;2;10709
106;103;4;14053
108; 35;3;13469
165;108;4;12101
 64; 72;4;12353
 41; 66;3;13051
128; 33;3;12057
 71; 65;4;13359
124; 71;4;13587
 57;114;4;10777
 87;119;4;13407
115; 33;3;12349
106;104;4;10827
133; 32;3;12277
172; 88;2;12049
103; 30;3;12587
148; 75;4;10315
151; 85;4;13437
 41;114;4;12357
 32; 79;4;13469
173; 90;2;10997
159; 96;4;12165
 46;147;2;13587
 30;134;3;14193
 68; 55;3;12165
155; 45;2;12487
 75;116;4;12161
151; 60;3;10179
 80; 40;3;14199
112; 31;3;13127
 54; 70;2;10781
124; 39;2;13403
 39;141;4;13057
117; 25;3;10367
167; 85;4;12357
 82; 47;3;10789
100; 42;4;10715
157; 86;4;13507
 52;152;2;13407
 68; 46;3;10435
 97;106;4;13359
110;125;1;12203
147;100;4;10997
 26;116;4;13627
152;111;4;10439
 80;112;3;13357
 81; 61;4;13349
165;115;4;13189
151; 42;2;12209
135; 40;3;14057
111;115;4;12524
 63;132;2;10319
116;119;3;10827
152; 29;3;12165
166; 30;4;10713
136; 36;2;12105
 72; 43;2;13407
140; 54;4;15566
 77; 55;3;10243
138; 29;2;12587
 41;132;1;10435
164; 96;3;13505
159; 93;4;14059
178;106;3;12279
 83;102;4;13349
115; 51;3;13127
169; 31;4;12099
 92; 41;2;13505
 78; 65;3;10781
 72; 54;3;13347
 65; 60;3;13589
138; 41;3;12049
102; 28;4;10315
164; 92;3;10318
 65; 52;3;13505
 54; 65;3;15566
168; 40;2;13159
 45; 74;3;10715
168; 27;4;14193
 83; 67;4;12681
180; 84;2;14193
137; 33;3;13351
 78; 62;3;12687
 39; 93;4;10589
149; 76;4;10709
 44; 96;3;10785
 72;124;4;10969
 61; 56;3;10783
167;120;4;12679
 31; 98;4;14109
131; 72;3;13088
178; 95;4;10405
 67; 39;1;12167
139; 46;4;10117
165;118;4;10587
 42; 75;4;14057
 81; 52;2;12353
 41;121;4;14197
122; 67;4;10115
 94;102;4;10779
 87; 36;4;13357
 95; 43;3;10559
 32;131;2;10707
 47;154;1;12357
139; 45;3;12047
137; 40;2;13507
135; 38;2;14195
 16;101;4;12524
110; 52;4;10247
 44; 93;3;10717
117; 71;3;10367
139; 73;4;10627
152; 61;3;10783
154; 61;4;13465
158; 89;3;13507
123; 32;3;13409
 48; 66;3;12627
162; 47;1;10115
109; 48;4;12163
 40; 69;1;12685
139; 43;4;10557
183;113;1;12349
148; 50;3;10559
 89; 94;4;10785
170;110;4;14195
 73; 77;4;12557
 53;115;4;10178
117; 98;2;10719
124; 37;3;12435
 61;105;4;12157
149; 69;3;12555
 66; 57;3;12623
127; 26;2;12559
 21; 94;3;10707
 60;113;4;14169
 72; 36;4;13585
136; 44;3;12051
175; 86;3;13055
107; 87;4;12103
102; 52;3;10243
136; 48;3;13581
 97;105;4;12203
162;119;4;14193
161;115;4;13051
174; 34;4;12309
 75; 51;4;14167
186;100;2;13359
 58; 52;3;13407
133; 65;4;10178
112; 30;3;14129
 33; 86;4;12167
 94; 54;3;14059
 58; 68;3;10559
 30; 99;4;13357
 13; 93;3;14059
 26; 84;4;13053
 75;109;4;12203
126;115;2;13349
105;122;1;10435
163; 88;4;13595
107; 30;3;12169
 73;119;4;10247
 76; 44;2;12524
 77; 54;4;10245
147; 48;3;12203
 29;126;1;13053
164; 35;3;12351
168; 92;4;13353
112;113;4;10435
174; 32;3;10369
 66;135;2;10315
183;115;2;12159
 29;129;3;10997
107; 43;3;10318
148; 61;3;10779
142; 42;3;10997
121;119;4;12161
 31;106;4;12167
167; 28;4;14055
132; 62;4;12555
149; 70;3;12059
 56;106;4;12489
140; 49;3;12437
 28;102;4;12167
 31;132;3;14167
103;120;2;10711
109; 53;4;12683
157; 25;4;12053
 66; 42;3;10825
 63;110;4;13591
 39; 95;2;14059
116; 61;4;10777
 71; 46;3;13407
 79; 37;3;12439
101; 59;3;12105
 56;128;4;12681
 84;105;3;10629
 37; 74;2;14109
100; 54;4;13595
 86;106;4;10117
127; 65;4;10967
 32;100;4;13158
148; 68;3;13465
 50;150;2;12683
148; 62;3;13405
 67;111;4;12101
 59;137;2;12557
102; 36;4;12055
 50; 57;3;10827
 45;102;4;13507
 28;127;1;13465
139; 48;4;10711
 94; 49;3;12629
 17;105;3;10317
109; 28;2;10829
179; 85;3;13593
 92; 48;3;10625
 84; 42;3;13403
 77; 47;4;12047
104; 38;3;12353
 61; 69;4;13469
 40; 72;4;10178
116; 69;3;12347
131; 52;3;13051
126; 55;4;13189
126; 63;4;10827
 81; 56;4;12209
119; 52;4;12351
 93;114;1;15569
 33; 98;3;13129
116; 38;3;13187
169; 32;4;10405
132; 42;3;10317
164;104;4;13127
 84; 69;4;12435
180; 98;1;13089
 43;118;4;13435
 78;111;4;12101
153; 86;4;12623
 58; 47;4;12167
 90; 41;4;12103
 77; 65;3;13059
 98; 54;3;15569
 78; 60;3;13355
146; 94;2;12623
121;107;4;14163
169; 38;3;13585
 95; 53;3;12359
 95; 55;3;12051
 64; 59;3;13355
 46;122;3;12629
125; 31;3;10711
169; 94;4;13465
163; 41;4;12051
131; 76;4;10317
141; 46;3;10178
105; 31;2;12049
144; 49;3;14089
 71; 68;3;12205
 64; 42;3;13351
122; 38;3;14055
 46;117;4;12619
 78;105;4;12679
104; 33;3;12051
125; 61;4;13599
 82;131;4;12359
 81;115;4;14197
122; 75;4;12679
 27;111;4;12157
150; 36;3;12623
 91;130;1;13159
116; 92;2;13505
 60;135;3;13349
 65; 53;3;13503
 77; 41;3;10965
173; 83;2;13509
 20; 89;4;12559
 19; 90;3;12307
 80;110;3;10439
 80; 36;2;12053
 61; 85;4;12357
124; 29;3;12587
151; 70;4;14052
 84;122;4;12353
117; 56;3;13055
 85;128;4;12167
 22; 97;4;10551
 47;110;3;10365
 81; 34;2;12587
118; 23;3;13353
 45; 99;4;13089
 93; 44;2;10555
123;112;4;12055
158; 41;4;10437
 74; 64;4;13407
 92; 38;3;13505
 51;125;4;13629
151; 35;2;10245
129; 57;3;12159
 58;112;4;12103
 91;107;1;12307
140; 41;3;12359
102; 41;4;14199
180;113;3;12045
153; 72;3;14197
116; 71;4;12103
119; 98;1;10369
178;110;1;15537
 61;128;3;10623
 70;109;4;13051
 14; 99;4;12351
143; 56;3;13469
143; 53;4;13359
 61; 63;3;13059
157; 84;4;12527
 31;135;3;10787
 55; 56;3;12683
109; 36;3;10119
 75;124;4;14199
 74; 60;3;12277
116; 45;4;10117
 45; 61;4;13125
121; 32;3;13158
 69; 42;2;10407
 73;112;4;12053
151; 32;2;13088
 33;136;2;10318
114; 36;3;13599
162;122;2;10969
127; 44;4;14129
156; 83;4;10555
116; 72;4;14129
127; 34;2;10178
170; 39;3;13129
160; 26;3;13409
 47; 65;2;13595
 34;121;3;10178
 62; 64;2;12355
 87; 56;3;10789
112; 45;3;15566
111; 29;3;10247
 50;107;4;10559
100; 33;3;12207
 36; 97;3;10557
139; 70;4;13057
 79; 68;3;14193
 97; 55;2;12163
 67; 51;3;12487
 77;112;4;13059
 54; 56;3;14199
105; 55;3;10317
 52; 72;3;10589
 64; 71;3;12055
171; 89;3;10407
 55;145;2;12587
145; 58;4;13439
 58; 97;4;12347
138; 62;3;10715
 99; 54;3;12165
136; 62;3;13409
110; 43;3;12627
123; 72;3;12435
 55;120;4;10713
182;115;2;10827
 99; 33;3;13583
 67;100;4;12351
101; 38;4;12353
169; 93;4;10627
 59; 57;3;13158
171;111;4;14053
 57;116;4;14129
134; 28;3;14165
148; 30;3;13057
156; 87;4;13086
 60; 49;3;10409
157; 68;4;14129
 91;126;1;10317
121; 27;3;13359
119; 63;4;13055
150; 40;3;10249
137; 69;3;13129
 61;111;3;12049
111; 86;3;10999
124; 51;3;10247
142; 48;3;13359
 45; 75;4;13355
 87;116;3;13585
 16;105;3;13125
 30; 90;4;10178
127; 56;4;12559
 80; 98;4;10119
 99; 27;3;12045
 71; 48;2;12683
160; 45;4;10365
116; 58;2;13409
 79;109;4;13591
 53; 66;3;12167
182;117;3;10437
 97; 58;4;12589
 59; 50;3;14059
 90;107;4;12055
 89; 31;3;10247
112;112;3;13593
 34;101;4;13086
169; 97;4;15566
 88; 40;4;13595
122; 42;3;12489
100;110;4;14163
123; 29;3;10589
141; 54;4;14055
171; 36;4;12487
121; 83;4;14089
 79; 56;4;10707
100; 41;4;14059
123; 94;4;15537
 83; 81;4;12279
164; 87;4;10555
101; 60;3;10719
 58;124;3;12057
163; 38;3;12099
 67; 64;3;12353
141; 69;4;10963
 63;102;3;12099
 32;123;2;12687
 99; 61;4;13587
 44;134;2;10789
158; 44;3;13583
 97; 52;4;12045
 75; 67;4;14163
134; 27;4;10439
 67; 49;3;13353
126;117;3;12627
115; 43;3;12623
168; 44;2;13509
 39;102;4;10247
 42;120;4;14055
 24;119;4;12555
158; 39;4;13507
 44; 66;3;13057
146; 35;2;13435
149; 34;2;13587
169; 36;4;12053
168; 88;4;14195
 75;112;4;12307
172; 93;3;10783
156;116;4;12157
 85; 27;3;12687
 14; 89;4;10117
 31;101;4;13409
 80; 50;3;12105
185; 96;1;12209
128; 41;3;12055
124; 38;3;10781
 78;103;4;10247
 95; 25;3;12589
 91; 29;3;10249
150; 66;3;13158
 66;144;2;12045
123; 64;3;14195
154;112;4;14129
157; 71;4;13347
 80; 44;3;13505
164;108;4;10625
 49;122;3;12621
 29;100;4;13125
119; 24;3;12689
 42;100;4;12349
120; 46;3;12557
145; 40;3;12057
 37; 95;4;12689
 47;118;3;13599
 61; 71;3;10409
130; 42;3;10407
 59;102;4;10589
136; 35;2;12623
131; 75;4;13409
 37;104;4;12167
114;102;3;14197
 31; 77;3;10369
175; 97;1;10827
153; 28;3;12589
 23;113;4;12161
110; 25;3;10787
 81; 55;4;10405
 41; 68;4;13509
 63;113;3;10179
102;117;2;10781
134; 42;3;13088
120; 57;4;12619
136; 56;3;12309
176; 37;4;10785
173; 81;1;10715
 60;124;4;10997
 63;135;1;10789
 70;113;4;12353
163; 37;3;10553
167; 94;4;13347
 90; 25;4;10409
 43; 61;2;13627
 44;146;2;12169
116; 54;3;12589
 76; 59;3;10369
 75; 55;3;12459
 98; 59;4;10779
 67;139;1;10719
155; 51;4;10557
 82; 52;2;12103
157; 54;4;13053
145; 63;4;14057
143; 70;3;10365
150; 79;4;10119
 48; 71;3;12167
115; 52;2;13089
153; 83;4;13403
122; 36;3;10711
 81; 57;4;10405
177;103;2;10787
131; 41;4;10409
166; 42;4;13353
164; 32;3;12157
144; 37;3;12165
 39;103;4;13409
 27;118;4;12043
110; 47;4;12349
 61;126;3;13581
103; 41;4;12307
125; 57;4;12099
173;120;3;14167
 77;125;4;15569
 63;123;4;12627
147; 67;3;12051
 85; 45;3;13505
125; 26;2;12107
 34; 74;4;12527
 83; 57;3;15569
 71; 60;3;10178
 98; 48;3;12307
132; 53;3;13599
171; 90;2;10825
127; 29;2;13591
133; 31;3;10555
128; 42;4;10623
 81; 47;3;12161
177;122;2;13583
147;108;1;10827
177; 93;3;12359
 80; 95;4;12307
147; 66;4;14169
 56; 63;3;12059
 44; 99;4;14053
 67;135;3;13129
 52; 66;3;10247
 73; 51;3;10785
130; 56;3;13405
168;118;4;13589
111; 31;3;12524
 94; 41;4;13587
177;105;3;12629
100; 35;4;13156
 43; 95;3;10179
101; 43;4;10997
119; 48;3;10405
 95;102;4;12351
141; 75;4;14109
 85;101;3;10789
163;111;4;12353
 77; 42;3;12249
121; 46;3;12279
 52; 63;3;15537
172;112;2;10789
187; 93;3;12101
169; 68;3;14129
134; 34;3;13353
173; 89;2;13627
 46; 64;3;10781
138; 78;4;13507
162; 34;2;12043
 47; 73;4;10999
 43;150;1;10823
 59;104;4;13503
 90; 92;3;12351
132; 40;4;12435
117; 64;4;10555
 48; 63;3;10409
 96;103;4;12047
114;113;4;10318
 11; 93;3;12309
 56;107;2;13347
112; 43;2;10715
150;103;4;14059
118;105;2;12165
 86; 38;4;12683
154; 95;4;10777
166; 85;4;12209
169; 88;4;13359
 81; 48;3;10627
173; 84;2;13127
148; 46;3;13409
 78; 61;4;13158
 48;143;3;13409
 80;116;4;12557
124; 63;4;12103
 57; 73;4;12051
175; 76;2;14167
 49; 65;2;10585
 72;114;4;13055
117; 65;3;10243
 89; 28;3;12487
 86; 26;3;12439
 75; 46;3;13469
 86;117;3;10717
159; 28;3;14050
188; 94;2;10178
134; 56;4;13349
144; 56;4;13129
 94; 38;3;10627
 31; 85;4;14129
154; 97;4;12435
148; 56;4;10247
154; 92;4;10317
133; 59;4;14167
128; 67;4;12351
103; 58;4;10318
 68; 53;3;10409
 68;111;4;10719
 74;111;4;14052
124; 61;3;13053
 51;154;1;12049
109; 22;2;14167
116; 63;3;12059
 99;111;4;14169
 66; 46;3;13057
106; 38;2;14199
160; 29;2;13629
153; 73;3;13585
 64;145;2;10629
 59;126;3;13088
 41;138;4;14059
 83; 61;4;10179
 40;132;1;13507
 44;118;4;10629
137; 67;4;12357
104; 44;3;13503
148; 43;4;10407
 39; 84;4;13407
108; 49;4;10717
 92; 96;3;10711
111;114;4;10823
 30; 80;3;10789
132; 56;3;14193
108; 25;4;10249
129; 80;4;10585
103; 27;3;12347
100; 44;3;13405
114;112;4;12557
 68;121;4;12163
175; 38;4;13583
 68; 39;2;10587
121;112;4;14163
143; 61;3;12587
151; 71;3;12459
 49; 57;3;10779
172;111;1;15569
153; 61;4;10409
 62; 68;3;10709
120;117;3;10179
134; 48;3;13439
116; 93;4;12439
112; 23;2;10967
167; 30;4;12247
 75; 43;3;12109
 83; 95;4;12359
164; 86;4;10319
 86; 61;4;13349
158; 47;3;12277
140; 40;3;12557
 80; 33;3;12589
 53;132;1;10243
125; 27;3;15569
 76;111;4;12055
153; 35;3;12165
 25;117;4;10589
143; 40;3;10551
118; 28;2;12059
 60; 46;4;14059
 47; 97;4;10365
 21; 98;3;10407
177; 39;1;13629
 76;117;4;13125
145; 36;3;10243
 82; 59;4;13403
154; 26;4;12557
140; 33;3;12524
140;100;4;10437
 46; 67;3;13351
 74; 62;3;13359
 97; 50;4;13599
181; 85;3;13089
183; 88;2;10789
 52;143;1;12277
 30; 84;4;14052
116; 36;3;12249
131; 40;4;10551
 89; 34;3;12169
171;113;4;12621
109; 33;4;10585
132; 45;3;12524
 84; 31;4;10405
127; 36;3;12109
150; 82;4;10719
129; 66;3;12277
 33; 78;4;15569
106;105;3;12163
 85;120;4;12101
134; 31;4;10435
 85; 30;4;14053
167; 86;3;13159
 65; 69;4;12683
 63;104;4;14197
 83; 49;3;10317
148; 82;4;12439
129; 30;2;12105
168; 89;4;12459
 55;122;4;10553
 69; 68;3;10785
 31; 78;4;13403
 78; 33;4;13589
169; 81;4;13349
 22; 96;4;13589
126; 38;3;13585
 44;109;3;10247
 78;108;4;12047
 78;117;4;10439
118; 61;3;13403
 82;108;3;13086
 47; 61;3;12305
130; 41;4;14199
 79; 51;3;13057
 33;121;3;12047
105; 44;4;14089
150; 29;3;13437
159; 33;2;10437
130; 49;3;13595
 44;100;4;12359
140; 72;4;13467
172;103;2;13055
 76; 68;4;10711
 77; 39;3;12359
 85; 48;3;10119
148; 59;3;12353
 32; 74;3;13189
171; 92;4;10245
 55;144;3;12053
153; 41;2;10789
186;103;2;13585
159; 41;4;15566
174; 92;1;13349
128; 43;4;10405
 62; 67;2;13086
126; 46;3;13409
166; 92;4;12305
 95; 39;3;10709
 64; 53;3;12359
186; 98;1;12555
 39;115;4;12685
 63; 86;4;13465
 89; 58;3;13595
139; 60;3;12163
 22;125;1;13088
 32; 87;3;13589
 45; 69;4;14195
 52; 61;2;14055
 52; 52;2;15537
103; 56;4;13357
 90; 45;4;14057
 58; 64;3;13347
139; 63;4;12353
169; 28;3;13353
 41;137;2;12205
113; 58;4;12249
 67; 42;3;13627
 54;135;3;13509
171; 66;1;12355
158; 76;4;13127
 44;137;3;10627
176; 89;1;10965
162; 51;4;10713
 78; 43;3;10965
133; 33;3;13353
155; 43;3;13189
144; 36;3;13589
 62;148;1;10709
 53;154;4;10707
 70;123;4;14050
171; 40;3;12059
102; 30;3;10318
111; 43;3;12157
 78; 54;4;14199
166; 33;4;12307
 91; 26;4;12435
167;121;4;13595
118; 69;4;10553
 46;148;2;12057
 56; 66;2;13509
151; 75;4;10551
153; 53;3;14109
154; 53;4;13403
 91; 59;4;12307
131; 58;3;14163
 89; 43;4;10247
110; 26;3;13189
138; 60;3;12043
172; 33;4;12619
117;112;4;13629
 58; 98;2;14163
 94; 32;3;14195
 51; 69;3;13629
187;101;2;14055
100; 60;4;10559
103; 53;3;13591
158; 29;4;13359
141; 34;3;12349
 64; 41;3;13409
 72; 46;3;13437
 51;122;4;13599
 89; 97;4;13051
157; 90;4;12621
179;124;1;13187
136; 55;3;13587
114; 29;2;13159
 32; 90;4;12053
 63;103;4;10781
 65; 42;3;13088
128; 28;2;10999
145; 31;2;12527
172; 72;2;10711
 92;104;3;13407
129; 69;3;12103
 97; 54;3;13503
120; 48;4;14169
138; 59;3;13086
 97; 51;3;13089
 70; 47;2;14053
 76; 37;3;12353
 54; 62;2;13587
 96;101;4;13405
151; 69;4;10439
157; 92;4;13057
126; 44;3;13583
 11; 85;2;13187
 56; 58;3;13467
 25;119;4;10963
 84; 34;3;12589
149; 37;3;12277
